flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,18000.0,18
2,0.02,39000.0,39
3,0.02,57000.0,57
4,0.02,83000.0,83
5,0.02,104000.0,104
6,0.02,120000.0,120
7,0.02,128000.0,128
8,0.02,150000.0,150
9,0.02,186000.0,186
10,0.02,190000.0,190
11,0.02,41000.0,41
12,0.02,83000.0,83
13,0.02,125000.0,125
14,0.02,167000.0,167
15,0.02,209000.0,209
17,0.02,293000.0,293
16,0.02,251000.0,251
19,0.02,377000.0,377
18,0.02,335000.0,335
20,0.02,419000.0,419
1,0.04,39000.0,39
2,0.04,81000.0,81
3,0.04,120000.0,120
4,0.04,167000.0,167
5,0.04,206000.0,206
6,0.04,246000.0,246
7,0.04,269000.0,269
8,0.04,318000.0,318
9,0.04,373000.0,373
10,0.04,394000.0,394
11,0.04,83000.0,83
12,0.04,167000.0,167
13,0.04,251000.0,251
14,0.04,335000.0,335
15,0.04,419000.0,419
17,0.04,587000.0,587
16,0.04,503000.0,503
19,0.04,754000.0,754
18,0.04,671000.0,671
20,0.04,838000.0,838
1,0.06,60000.0,60
2,0.06,123000.0,123
3,0.06,180000.0,180
4,0.06,251000.0,251
5,0.06,307000.0,307
6,0.06,372000.0,372
7,0.06,416000.0,416
8,0.06,486000.0,486
9,0.06,552000.0,552
10,0.06,604000.0,604
11,0.06,125000.0,125
12,0.06,251000.0,251
13,0.06,377000.0,377
14,0.06,503000.0,503
15,0.06,629000.0,629
17,0.06,880000.0,880
16,0.06,754000.0,754
19,0.06,1132000.0,1132
18,0.06,1006000.0,1006
20,0.06,1258000.0,1258
1,0.08,81000.0,81
2,0.08,165000.0,165
3,0.08,241000.0,241
4,0.08,335000.0,335
5,0.08,412000.0,412
6,0.08,498000.0,498
7,0.08,557000.0,557
8,0.08,654000.0,654
9,0.08,717000.0,717
10,0.08,813000.0,813
11,0.08,167000.0,167
12,0.08,335000.0,335
13,0.08,503000.0,503
14,0.08,671000.0,671
15,0.08,838000.0,838
17,0.08,1174000.0,1174
16,0.08,1006000.0,1006
19,0.08,1509000.0,1509
18,0.08,1342000.0,1342
20,0.08,1677000.0,1677
1,0.1,102000.0,102
2,0.1,206000.0,206
3,0.1,304000.0,304
4,0.1,418000.0,418
5,0.1,517000.0,517
6,0.1,623000.0,623
7,0.1,696000.0,696
8,0.1,821000.0,821
9,0.1,899000.0,899
10,0.1,1010000.0,1010
11,0.1,209000.0,209
12,0.1,419000.0,419
13,0.1,629000.0,629
14,0.1,838000.0,838
15,0.1,1048000.0,1048
17,0.1,1467000.0,1467
16,0.1,1258000.0,1258
19,0.1,1887000.0,1887
18,0.1,1677000.0,1677
20,0.1,2097000.0,2097
1,0.12000000000000001,120000.0,120
2,0.12000000000000001,248000.0,248
3,0.12000000000000001,367000.0,367
4,0.12000000000000001,502000.0,502
5,0.12000000000000001,622000.0,622
6,0.12000000000000001,749000.0,749
7,0.12000000000000001,839000.0,839
8,0.12000000000000001,989000.0,989
9,0.12000000000000001,1088000.0,1088
10,0.12000000000000001,1213000.0,1213
11,0.12000000000000001,251000.0,251
12,0.12000000000000001,503000.0,503
13,0.12000000000000001,754000.0,754
14,0.12000000000000001,1006000.0,1006
15,0.12000000000000001,1258000.0,1258
17,0.12000000000000001,1761000.0,1761
16,0.12000000000000001,1509000.0,1509
19,0.12000000000000001,2264000.0,2264
18,0.12000000000000001,2013000.0,2013
20,0.12000000000000001,2516000.0,2516
1,0.14,137000.0,137
2,0.14,290000.0,290
3,0.14,430000.0,430
4,0.14,586000.0,586
5,0.14,726000.0,726
6,0.14,875000.0,875
7,0.14,980000.0,980
8,0.14,1157000.0,1157
9,0.14,1264000.0,1264
10,0.14,1423000.0,1423
11,0.14,293000.0,293
12,0.14,587000.0,587
13,0.14,880000.0,880
14,0.14,1174000.0,1174
15,0.14,1468000.0,1468
17,0.14,2055000.0,2055
16,0.14,1761000.0,1761
19,0.14,2642000.0,2642
18,0.14,2348000.0,2348
20,0.14,2936000.0,2936
1,0.16,158000.0,158
2,0.16,332000.0,332
3,0.16,493000.0,493
4,0.16,670000.0,670
5,0.16,831000.0,831
6,0.16,1000000.0,1000
7,0.16,1112000.0,1112
8,0.16,1325000.0,1325
9,0.16,1452000.0,1452
10,0.16,1633000.0,1633
11,0.16,335000.0,335
12,0.16,671000.0,671
13,0.16,1006000.0,1006
14,0.16,1342000.0,1342
15,0.16,1677000.0,1677
17,0.16,2348000.0,2348
16,0.16,2013000.0,2013
19,0.16,3019000.0,3019
18,0.16,2684000.0,2684
20,0.16,3355000.0,3355
1,0.18,179000.0,179
2,0.18,374000.0,374
3,0.18,556000.0,556
4,0.18,754000.0,754
5,0.18,936000.0,936
6,0.18,1126000.0,1126
7,0.18,1259000.0,1259
8,0.18,1492000.0,1492
9,0.18,1641000.0,1641
10,0.18,1842000.0,1842
11,0.18,377000.0,377
12,0.18,754000.0,754
13,0.18,1132000.0,1132
14,0.18,1509000.0,1509
15,0.18,1887000.0,1887
17,0.18,2642000.0,2642
16,0.18,2264000.0,2264
19,0.18,3397000.0,3397
18,0.18,3019000.0,3019
20,0.18,3774000.0,3774
1,0.19999999999999998,200000.0,200
2,0.19999999999999998,416000.0,416
3,0.19999999999999998,618000.0,618
4,0.19999999999999998,838000.0,838
5,0.19999999999999998,1041000.0,1041
6,0.19999999999999998,1244000.0,1244
7,0.19999999999999998,1406000.0,1406
8,0.19999999999999998,1660000.0,1660
9,0.19999999999999998,1830000.0,1830
10,0.19999999999999998,2049000.0,2049
11,0.19999999999999998,419000.0,419
12,0.19999999999999998,838000.0,838
13,0.19999999999999998,1258000.0,1258
14,0.19999999999999998,1677000.0,1677
15,0.19999999999999998,2097000.0,2097
17,0.19999999999999998,2936000.0,2936
16,0.19999999999999998,2516000.0,2516
19,0.19999999999999998,3774000.0,3774
18,0.19999999999999998,3355000.0,3355
20,0.19999999999999998,4194000.0,4194
1,0.21999999999999997,221000.0,221
2,0.21999999999999997,458000.0,458
3,0.21999999999999997,681000.0,681
4,0.21999999999999997,922000.0,922
5,0.21999999999999997,1145000.0,1145
6,0.21999999999999997,1360000.0,1360
7,0.21999999999999997,1553000.0,1553
8,0.21999999999999997,1828000.0,1828
9,0.21999999999999997,2019000.0,2019
10,0.21999999999999997,2256000.0,2256
11,0.21999999999999997,461000.0,461
12,0.21999999999999997,922000.0,922
13,0.21999999999999997,1384000.0,1384
14,0.21999999999999997,1845000.0,1845
15,0.21999999999999997,2306000.0,2306
17,0.21999999999999997,3229000.0,3229
16,0.21999999999999997,2768000.0,2768
19,0.21999999999999997,4152000.0,4152
18,0.21999999999999997,3690000.0,3690
20,0.21999999999999997,4613000.0,4613
1,0.23999999999999996,242000.0,242
2,0.23999999999999996,500000.0,500
3,0.23999999999999996,739000.0,739
4,0.23999999999999996,1006000.0,1006
5,0.23999999999999996,1229000.0,1229
6,0.23999999999999996,1486000.0,1486
7,0.23999999999999996,1700000.0,1700
8,0.23999999999999996,1996000.0,1996
9,0.23999999999999996,2203000.0,2203
10,0.23999999999999996,2464000.0,2464
11,0.23999999999999996,503000.0,503
12,0.23999999999999996,1006000.0,1006
13,0.23999999999999996,1509000.0,1509
14,0.23999999999999996,2013000.0,2013
15,0.23999999999999996,2516000.0,2516
17,0.23999999999999996,3523000.0,3523
16,0.23999999999999996,3019000.0,3019
19,0.23999999999999996,4529000.0,4529
18,0.23999999999999996,4026000.0,4026
20,0.23999999999999996,5033000.0,5033
1,0.25999999999999995,263000.0,263
2,0.25999999999999995,542000.0,542
3,0.25999999999999995,800000.0,800
4,0.25999999999999995,1090000.0,1090
5,0.25999999999999995,1334000.0,1334
6,0.25999999999999995,1612000.0,1612
7,0.25999999999999995,1846000.0,1846
8,0.25999999999999995,2163000.0,2163
9,0.25999999999999995,2392000.0,2392
10,0.25999999999999995,2644000.0,2644
11,0.25999999999999995,545000.0,545
12,0.25999999999999995,1090000.0,1090
13,0.25999999999999995,1635000.0,1635
14,0.25999999999999995,2181000.0,2181
15,0.25999999999999995,2726000.0,2726
17,0.25999999999999995,3816000.0,3816
16,0.25999999999999995,3271000.0,3271
19,0.25999999999999995,4907000.0,4907
18,0.25999999999999995,4362000.0,4362
20,0.25999999999999995,5452000.0,5452
1,0.27999999999999997,284000.0,284
2,0.27999999999999997,584000.0,584
3,0.27999999999999997,852000.0,852
4,0.27999999999999997,1173000.0,1173
5,0.27999999999999997,1439000.0,1439
6,0.27999999999999997,1738000.0,1738
7,0.27999999999999997,1993000.0,1993
8,0.27999999999999997,2331000.0,2331
9,0.27999999999999997,2566000.0,2566
10,0.27999999999999997,2831000.0,2831
11,0.27999999999999997,587000.0,587
12,0.27999999999999997,1174000.0,1174
13,0.27999999999999997,1761000.0,1761
14,0.27999999999999997,2348000.0,2348
15,0.27999999999999997,2936000.0,2936
17,0.27999999999999997,4110000.0,4110
16,0.27999999999999997,3523000.0,3523
19,0.27999999999999997,5284000.0,5284
18,0.27999999999999997,4697000.0,4697
20,0.27999999999999997,5872000.0,5872
1,0.3,285000.0,285
2,0.3,585000.0,585
3,0.3,853000.0,853
4,0.3,1174000.0,1174
5,0.3,1440000.0,1440
6,0.3,1739000.0,1739
7,0.3,1994000.0,1994
8,0.3,2332000.0,2332
9,0.3,2567000.0,2567
10,0.3,2832000.0,2832
11,0.3,588000.0,588
12,0.3,1175000.0,1175
13,0.3,1762000.0,1762
14,0.3,2349000.0,2349
15,0.3,2937000.0,2937
17,0.3,4111000.0,4111
16,0.3,3524000.0,3524
19,0.3,5285000.0,5285
18,0.3,4698000.0,4698
20,0.3,5873000.0,5873
