flowId,timestamp,totalData,totalPackets
1,0.0,0.0,0
2,0.0,0.0,0
3,0.0,0.0,0
4,0.0,0.0,0
5,0.0,0.0,0
6,0.0,0.0,0
7,0.0,0.0,0
8,0.0,0.0,0
9,0.0,0.0,0
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
17,0.0,0.0,0
16,0.0,0.0,0
19,0.0,0.0,0
18,0.0,0.0,0
20,0.0,0.0,0
1,0.02,18000.0,18
2,0.02,39000.0,39
3,0.02,57000.0,57
4,0.02,83000.0,83
5,0.02,104000.0,104
6,0.02,120000.0,120
7,0.02,128000.0,128
8,0.02,150000.0,150
9,0.02,186000.0,186
10,0.02,190000.0,190
11,0.02,230000.0,230
12,0.02,230000.0,230
13,0.02,230000.0,230
14,0.02,230000.0,230
15,0.02,230000.0,230
17,0.02,230000.0,230
16,0.02,230000.0,230
19,0.02,230000.0,230
18,0.02,230000.0,230
20,0.02,230000.0,230
1,0.27999999999999997,284000.0,284
2,0.27999999999999997,584000.0,584
3,0.27999999999999997,852000.0,852
4,0.27999999999999997,1173000.0,1173
5,0.27999999999999997,1439000.0,1439
6,0.27999999999999997,1738000.0,1738
7,0.27999999999999997,1993000.0,1993
8,0.27999999999999997,2331000.0,2331
9,0.27999999999999997,2566000.0,2566
10,0.27999999999999997,2831000.0,2831
11,0.27999999999999997,3229000.0,3229
12,0.27999999999999997,3229000.0,3229
13,0.27999999999999997,3229000.0,3229
14,0.27999999999999997,3229000.0,3229
15,0.27999999999999997,3229000.0,3229
17,0.27999999999999997,3229000.0,3229
16,0.27999999999999997,3229000.0,3229
19,0.27999999999999997,3229000.0,3229
18,0.27999999999999997,3229000.0,3229
20,0.27999999999999997,3229000.0,3229
1,0.04,39000.0,39
2,0.04,81000.0,81
3,0.04,120000.0,120
4,0.04,167000.0,167
5,0.04,206000.0,206
6,0.04,246000.0,246
7,0.04,269000.0,269
8,0.04,318000.0,318
9,0.04,373000.0,373
10,0.04,394000.0,394
11,0.04,461000.0,461
12,0.04,461000.0,461
13,0.04,461000.0,461
14,0.04,461000.0,461
15,0.04,461000.0,461
17,0.04,461000.0,461
16,0.04,461000.0,461
19,0.04,461000.0,461
18,0.04,461000.0,461
20,0.04,461000.0,461
1,0.3,305000.0,305
2,0.3,626000.0,626
3,0.3,915000.0,915
4,0.3,1257000.0,1257
5,0.3,1543000.0,1543
6,0.3,1864000.0,1864
7,0.3,2140000.0,2140
8,0.3,2499000.0,2499
9,0.3,2754000.0,2754
10,0.3,3036000.0,3036
11,0.3,3460000.0,3460
12,0.3,3460000.0,3460
13,0.3,3460000.0,3460
14,0.3,3460000.0,3460
15,0.3,3460000.0,3460
17,0.3,3460000.0,3460
16,0.3,3460000.0,3460
19,0.3,3460000.0,3460
18,0.3,3460000.0,3460
20,0.3,3460000.0,3460
1,0.32,326000.0,326
2,0.32,668000.0,668
3,0.32,978000.0,978
4,0.32,1341000.0,1341
5,0.32,1643000.0,1643
6,0.32,1989000.0,1989
7,0.32,2287000.0,2287
8,0.32,2667000.0,2667
9,0.32,2943000.0,2943
10,0.32,3246000.0,3246
11,0.32,3691000.0,3691
12,0.32,3691000.0,3691
13,0.32,3691000.0,3691
14,0.32,3691000.0,3691
15,0.32,3691000.0,3691
17,0.32,3691000.0,3691
16,0.32,3691000.0,3691
19,0.32,3691000.0,3691
18,0.32,3691000.0,3691
20,0.32,3691000.0,3691
1,0.06,60000.0,60
2,0.06,123000.0,123
3,0.06,180000.0,180
4,0.06,251000.0,251
5,0.06,307000.0,307
6,0.06,372000.0,372
7,0.06,416000.0,416
8,0.06,486000.0,486
9,0.06,552000.0,552
10,0.06,604000.0,604
11,0.06,692000.0,692
12,0.06,692000.0,692
13,0.06,692000.0,692
14,0.06,692000.0,692
15,0.06,692000.0,692
17,0.06,692000.0,692
16,0.06,692000.0,692
19,0.06,692000.0,692
18,0.06,692000.0,692
20,0.06,692000.0,692
1,0.34,347000.0,347
2,0.34,710000.0,710
3,0.34,1041000.0,1041
4,0.34,1425000.0,1425
5,0.34,1747000.0,1747
6,0.34,2115000.0,2115
7,0.34,2434000.0,2434
8,0.34,2835000.0,2835
9,0.34,3129000.0,3129
10,0.34,3455000.0,3455
11,0.34,3921000.0,3921
12,0.34,3921000.0,3921
13,0.34,3921000.0,3921
14,0.34,3921000.0,3921
15,0.34,3921000.0,3921
17,0.34,3921000.0,3921
16,0.34,3921000.0,3921
19,0.34,3921000.0,3921
18,0.34,3921000.0,3921
20,0.34,3921000.0,3921
1,0.08,81000.0,81
2,0.08,165000.0,165
3,0.08,241000.0,241
4,0.08,335000.0,335
5,0.08,412000.0,412
6,0.08,498000.0,498
7,0.08,557000.0,557
8,0.08,654000.0,654
9,0.08,717000.0,717
10,0.08,813000.0,813
11,0.08,922000.0,922
12,0.08,922000.0,922
13,0.08,922000.0,922
14,0.08,922000.0,922
15,0.08,922000.0,922
17,0.08,922000.0,922
16,0.08,922000.0,922
19,0.08,922000.0,922
18,0.08,922000.0,922
20,0.08,922000.0,922
1,0.36000000000000004,368000.0,368
2,0.36000000000000004,752000.0,752
3,0.36000000000000004,1104000.0,1104
4,0.36000000000000004,1509000.0,1509
5,0.36000000000000004,1837000.0,1837
6,0.36000000000000004,2241000.0,2241
7,0.36000000000000004,2581000.0,2581
8,0.36000000000000004,3002000.0,3002
9,0.36000000000000004,3296000.0,3296
10,0.36000000000000004,3665000.0,3665
11,0.36000000000000004,4152000.0,4152
12,0.36000000000000004,4152000.0,4152
13,0.36000000000000004,4152000.0,4152
14,0.36000000000000004,4152000.0,4152
15,0.36000000000000004,4152000.0,4152
17,0.36000000000000004,4152000.0,4152
16,0.36000000000000004,4152000.0,4152
19,0.36000000000000004,4152000.0,4152
18,0.36000000000000004,4152000.0,4152
20,0.36000000000000004,4152000.0,4152
1,0.38000000000000006,389000.0,389
2,0.38000000000000006,794000.0,794
3,0.38000000000000006,1167000.0,1167
4,0.38000000000000006,1593000.0,1593
5,0.38000000000000006,1937000.0,1937
6,0.38000000000000006,2367000.0,2367
7,0.38000000000000006,2727000.0,2727
8,0.38000000000000006,3170000.0,3170
9,0.38000000000000006,3485000.0,3485
10,0.38000000000000006,3875000.0,3875
11,0.38000000000000006,4383000.0,4383
12,0.38000000000000006,4383000.0,4383
13,0.38000000000000006,4383000.0,4383
14,0.38000000000000006,4383000.0,4383
15,0.38000000000000006,4383000.0,4383
17,0.38000000000000006,4383000.0,4383
16,0.38000000000000006,4383000.0,4383
19,0.38000000000000006,4383000.0,4383
18,0.38000000000000006,4383000.0,4383
20,0.38000000000000006,4383000.0,4383
1,0.1,102000.0,102
2,0.1,206000.0,206
3,0.1,304000.0,304
4,0.1,418000.0,418
5,0.1,517000.0,517
6,0.1,623000.0,623
7,0.1,696000.0,696
8,0.1,821000.0,821
9,0.1,899000.0,899
10,0.1,1010000.0,1010
11,0.1,1153000.0,1153
12,0.1,1153000.0,1153
13,0.1,1153000.0,1153
14,0.1,1153000.0,1153
15,0.1,1153000.0,1153
17,0.1,1153000.0,1153
16,0.1,1153000.0,1153
19,0.1,1153000.0,1153
18,0.1,1153000.0,1153
20,0.1,1153000.0,1153
1,0.12000000000000001,120000.0,120
2,0.12000000000000001,248000.0,248
3,0.12000000000000001,367000.0,367
4,0.12000000000000001,502000.0,502
5,0.12000000000000001,622000.0,622
6,0.12000000000000001,749000.0,749
7,0.12000000000000001,839000.0,839
8,0.12000000000000001,989000.0,989
9,0.12000000000000001,1088000.0,1088
10,0.12000000000000001,1213000.0,1213
11,0.12000000000000001,1384000.0,1384
12,0.12000000000000001,1384000.0,1384
13,0.12000000000000001,1384000.0,1384
14,0.12000000000000001,1384000.0,1384
15,0.12000000000000001,1384000.0,1384
17,0.12000000000000001,1384000.0,1384
16,0.12000000000000001,1384000.0,1384
19,0.12000000000000001,1384000.0,1384
18,0.12000000000000001,1384000.0,1384
20,0.12000000000000001,1384000.0,1384
1,0.14,137000.0,137
2,0.14,290000.0,290
3,0.14,430000.0,430
4,0.14,586000.0,586
5,0.14,726000.0,726
6,0.14,875000.0,875
7,0.14,980000.0,980
8,0.14,1157000.0,1157
9,0.14,1264000.0,1264
10,0.14,1423000.0,1423
11,0.14,1614000.0,1614
12,0.14,1614000.0,1614
13,0.14,1614000.0,1614
14,0.14,1614000.0,1614
15,0.14,1614000.0,1614
17,0.14,1614000.0,1614
16,0.14,1614000.0,1614
19,0.14,1614000.0,1614
18,0.14,1614000.0,1614
20,0.14,1614000.0,1614
1,0.16,158000.0,158
2,0.16,332000.0,332
3,0.16,493000.0,493
4,0.16,670000.0,670
5,0.16,831000.0,831
6,0.16,1000000.0,1000
7,0.16,1112000.0,1112
8,0.16,1325000.0,1325
9,0.16,1452000.0,1452
10,0.16,1633000.0,1633
11,0.16,1845000.0,1845
12,0.16,1845000.0,1845
13,0.16,1845000.0,1845
14,0.16,1845000.0,1845
15,0.16,1845000.0,1845
17,0.16,1845000.0,1845
16,0.16,1845000.0,1845
19,0.16,1845000.0,1845
18,0.16,1845000.0,1845
20,0.16,1845000.0,1845
1,0.18,179000.0,179
2,0.18,374000.0,374
3,0.18,556000.0,556
4,0.18,754000.0,754
5,0.18,936000.0,936
6,0.18,1126000.0,1126
7,0.18,1259000.0,1259
8,0.18,1492000.0,1492
9,0.18,1641000.0,1641
10,0.18,1842000.0,1842
11,0.18,2076000.0,2076
12,0.18,2076000.0,2076
13,0.18,2076000.0,2076
14,0.18,2076000.0,2076
15,0.18,2076000.0,2076
17,0.18,2076000.0,2076
16,0.18,2076000.0,2076
19,0.18,2076000.0,2076
18,0.18,2076000.0,2076
20,0.18,2076000.0,2076
1,0.19999999999999998,200000.0,200
2,0.19999999999999998,416000.0,416
3,0.19999999999999998,618000.0,618
4,0.19999999999999998,838000.0,838
5,0.19999999999999998,1041000.0,1041
6,0.19999999999999998,1244000.0,1244
7,0.19999999999999998,1406000.0,1406
8,0.19999999999999998,1660000.0,1660
9,0.19999999999999998,1830000.0,1830
10,0.19999999999999998,2049000.0,2049
11,0.19999999999999998,2306000.0,2306
12,0.19999999999999998,2306000.0,2306
13,0.19999999999999998,2306000.0,2306
14,0.19999999999999998,2306000.0,2306
15,0.19999999999999998,2306000.0,2306
17,0.19999999999999998,2306000.0,2306
16,0.19999999999999998,2306000.0,2306
19,0.19999999999999998,2306000.0,2306
18,0.19999999999999998,2306000.0,2306
20,0.19999999999999998,2306000.0,2306
1,0.21999999999999997,221000.0,221
2,0.21999999999999997,458000.0,458
3,0.21999999999999997,681000.0,681
4,0.21999999999999997,922000.0,922
5,0.21999999999999997,1145000.0,1145
6,0.21999999999999997,1360000.0,1360
7,0.21999999999999997,1553000.0,1553
8,0.21999999999999997,1828000.0,1828
9,0.21999999999999997,2019000.0,2019
10,0.21999999999999997,2256000.0,2256
11,0.21999999999999997,2537000.0,2537
12,0.21999999999999997,2537000.0,2537
13,0.21999999999999997,2537000.0,2537
14,0.21999999999999997,2537000.0,2537
15,0.21999999999999997,2537000.0,2537
17,0.21999999999999997,2537000.0,2537
16,0.21999999999999997,2537000.0,2537
19,0.21999999999999997,2537000.0,2537
18,0.21999999999999997,2537000.0,2537
20,0.21999999999999997,2537000.0,2537
1,0.23999999999999996,242000.0,242
2,0.23999999999999996,500000.0,500
3,0.23999999999999996,739000.0,739
4,0.23999999999999996,1006000.0,1006
5,0.23999999999999996,1229000.0,1229
6,0.23999999999999996,1486000.0,1486
7,0.23999999999999996,1700000.0,1700
8,0.23999999999999996,1996000.0,1996
9,0.23999999999999996,2203000.0,2203
10,0.23999999999999996,2464000.0,2464
11,0.23999999999999996,2768000.0,2768
12,0.23999999999999996,2768000.0,2768
13,0.23999999999999996,2768000.0,2768
14,0.23999999999999996,2768000.0,2768
15,0.23999999999999996,2768000.0,2768
17,0.23999999999999996,2768000.0,2768
16,0.23999999999999996,2768000.0,2768
19,0.23999999999999996,2768000.0,2768
18,0.23999999999999996,2768000.0,2768
20,0.23999999999999996,2768000.0,2768
1,0.25999999999999995,263000.0,263
2,0.25999999999999995,542000.0,542
3,0.25999999999999995,800000.0,800
4,0.25999999999999995,1090000.0,1090
5,0.25999999999999995,1334000.0,1334
6,0.25999999999999995,1612000.0,1612
7,0.25999999999999995,1846000.0,1846
8,0.25999999999999995,2163000.0,2163
9,0.25999999999999995,2392000.0,2392
10,0.25999999999999995,2644000.0,2644
11,0.25999999999999995,2998000.0,2998
12,0.25999999999999995,2998000.0,2998
13,0.25999999999999995,2998000.0,2998
14,0.25999999999999995,2998000.0,2998
15,0.25999999999999995,2998000.0,2998
17,0.25999999999999995,2998000.0,2998
16,0.25999999999999995,2998000.0,2998
19,0.25999999999999995,2998000.0,2998
18,0.25999999999999995,2998000.0,2998
20,0.25999999999999995,2998000.0,2998
1,0.27999999999999997,284000.0,284
2,0.27999999999999997,584000.0,584
3,0.27999999999999997,852000.0,852
4,0.27999999999999997,1173000.0,1173
5,0.27999999999999997,1439000.0,1439
6,0.27999999999999997,1738000.0,1738
7,0.27999999999999997,1993000.0,1993
8,0.27999999999999997,2331000.0,2331
9,0.27999999999999997,2566000.0,2566
10,0.27999999999999997,2831000.0,2831
11,0.27999999999999997,3229000.0,3229
12,0.27999999999999997,3229000.0,3229
13,0.27999999999999997,3229000.0,3229
14,0.27999999999999997,3229000.0,3229
15,0.27999999999999997,3229000.0,3229
17,0.27999999999999997,3229000.0,3229
16,0.27999999999999997,3229000.0,3229
19,0.27999999999999997,3229000.0,3229
18,0.27999999999999997,3229000.0,3229
20,0.27999999999999997,3229000.0,3229
1,0.3,305000.0,305
2,0.3,626000.0,626
3,0.3,915000.0,915
4,0.3,1257000.0,1257
5,0.3,1543000.0,1543
6,0.3,1864000.0,1864
7,0.3,2140000.0,2140
8,0.3,2499000.0,2499
9,0.3,2754000.0,2754
10,0.3,3036000.0,3036
11,0.3,3460000.0,3460
12,0.3,3460000.0,3460
13,0.3,3460000.0,3460
14,0.3,3460000.0,3460
15,0.3,3460000.0,3460
17,0.3,3460000.0,3460
16,0.3,3460000.0,3460
19,0.3,3460000.0,3460
18,0.3,3460000.0,3460
20,0.3,3460000.0,3460
1,0.32,326000.0,326
2,0.32,668000.0,668
3,0.32,978000.0,978
4,0.32,1341000.0,1341
5,0.32,1643000.0,1643
6,0.32,1989000.0,1989
7,0.32,2287000.0,2287
8,0.32,2667000.0,2667
9,0.32,2943000.0,2943
10,0.32,3246000.0,3246
11,0.32,3691000.0,3691
