flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,5.7798457419266924E-5,1048.576,0.0
2,5.7798457419266924E-5,2097.152,0.0
3,5.7798457419266924E-5,3145.728,0.0
4,5.7798457419266924E-5,4194.304,0.0
5,5.7798457419266924E-5,5242.88,0.0
6,5.7798457419266924E-5,6291.456,0.0
7,5.7798457419266924E-5,7340.032,0.0
8,5.7798457419266924E-5,8388.608,0.0
9,5.7798457419266924E-5,9437.184,0.0
10,5.7798457419266924E-5,10485.76,0.0
11,5.7798457419266924E-5,1048.576,3145.7275
12,5.7798457419266924E-5,2097.152,6291.455
13,5.7798457419266924E-5,3145.728,9437.183
14,5.7798457419266924E-5,4194.304,12582.91
15,5.7798457419266924E-5,5242.88,15728.637
17,5.7798457419266924E-5,7340.032,22020.094
16,5.7798457419266924E-5,6291.456,18874.365
19,5.7798457419266924E-5,9437.184,28311.547
18,5.7798457419266924E-5,8388.608,25165.82
20,5.7798457419266924E-5,10485.76,31457.273
1,7.40587929612957E-5,1048.576,0.0
2,7.40587929612957E-5,2097.152,0.0
3,7.40587929612957E-5,3145.728,0.0
4,7.40587929612957E-5,4194.304,0.0
5,7.40587929612957E-5,5242.88,0.0
6,7.40587929612957E-5,6291.456,0.0
7,7.40587929612957E-5,7340.032,0.0
8,7.40587929612957E-5,8388.608,0.0
9,7.40587929612957E-5,9437.184,0.0
10,7.40587929612957E-5,10485.76,26617.693
11,7.40587929612957E-5,1048.576,2661.7693
12,7.40587929612957E-5,2097.152,5323.5386
13,7.40587929612957E-5,3145.728,7985.3076
14,7.40587929612957E-5,4194.304,10647.077
15,7.40587929612957E-5,5242.88,13308.847
17,7.40587929612957E-5,7340.032,18632.387
16,7.40587929612957E-5,6291.456,15970.615
19,7.40587929612957E-5,9437.184,23955.922
18,7.40587929612957E-5,8388.608,21294.154
20,7.40587929612957E-5,10485.76,26617.693
1,8.23715454316698E-5,1048.576,0.0
2,8.23715454316698E-5,2097.152,0.0
3,8.23715454316698E-5,3145.728,0.0
4,8.23715454316698E-5,4194.304,0.0
5,8.23715454316698E-5,5242.88,0.0
6,8.23715454316698E-5,6291.456,0.0
7,8.23715454316698E-5,7340.032,0.0
8,8.23715454316698E-5,8388.608,0.0
9,8.23715454316698E-5,9437.184,21042.363
10,8.23715454316698E-5,10485.76,23380.404
11,8.23715454316698E-5,1048.576,2338.0405
12,8.23715454316698E-5,2097.152,4676.081
13,8.23715454316698E-5,3145.728,7014.121
14,8.23715454316698E-5,4194.304,9352.162
15,8.23715454316698E-5,5242.88,11690.202
17,8.23715454316698E-5,7340.032,16366.284
16,8.23715454316698E-5,6291.456,14028.242
19,8.23715454316698E-5,9437.184,21042.363
18,8.23715454316698E-5,8388.608,18704.324
20,8.23715454316698E-5,10485.76,23380.404
1,9.263648098567501E-5,1048.576,0.0
2,9.263648098567501E-5,2097.152,0.0
3,9.263648098567501E-5,3145.728,0.0
4,9.263648098567501E-5,4194.304,0.0
5,9.263648098567501E-5,5242.88,0.0
6,9.263648098567501E-5,6291.456,0.0
7,9.263648098567501E-5,7340.032,0.0
8,9.263648098567501E-5,8388.608,16879.514
9,9.263648098567501E-5,9437.184,18989.45
10,9.263648098567501E-5,10485.76,21099.389
11,9.263648098567501E-5,1048.576,2109.9392
12,9.263648098567501E-5,2097.152,4219.8784
13,9.263648098567501E-5,3145.728,6329.817
14,9.263648098567501E-5,4194.304,8439.757
15,9.263648098567501E-5,5242.88,10549.694
17,9.263648098567501E-5,7340.032,14769.573
16,9.263648098567501E-5,6291.456,12659.634
19,9.263648098567501E-5,9437.184,18989.45
18,9.263648098567501E-5,8388.608,16879.514
20,9.263648098567501E-5,10485.76,21099.389
1,1.0569032019702718E-4,1048.576,0.0
2,1.0569032019702718E-4,2097.152,0.0
3,1.0569032019702718E-4,3145.728,0.0
4,1.0569032019702718E-4,4194.304,0.0
5,1.0569032019702718E-4,5242.88,0.0
6,1.0569032019702718E-4,6291.456,0.0
7,1.0569032019702718E-4,7340.032,13607.923
8,1.0569032019702718E-4,8388.608,15551.911
9,1.0569032019702718E-4,9437.184,17495.9
10,1.0569032019702718E-4,10485.76,19439.889
11,1.0569032019702718E-4,1048.576,1943.9889
12,1.0569032019702718E-4,2097.152,3887.9778
