flowId,currentTime,minimumBandwidth,allocatedBandwidth
1,0.0,1048.576,0.0
2,0.0,2097.152,11534.329
3,0.0,3145.728,0.0
4,0.0,4194.304,0.0
5,0.0,5242.88,11534.329
6,0.0,6291.456,0.0
7,0.0,7340.032,0.0
8,0.0,8388.608,11534.329
9,0.0,9437.184,11534.329
10,0.0,10485.76,11534.329
11,0.0,1048.576,11534.329
12,0.0,2097.152,11534.329
13,0.0,3145.728,11534.329
14,0.0,4194.304,11534.329
15,0.0,5242.88,11534.329
17,0.0,7340.032,11534.329
16,0.0,6291.456,11534.329
19,0.0,9437.184,11534.329
18,0.0,8388.608,11534.329
20,0.0,10485.76,11534.329
1,7.51380212022923E-5,1048.576,0.0
2,7.51380212022923E-5,2097.152,0.0
3,7.51380212022923E-5,3145.728,0.0
4,7.51380212022923E-5,4194.304,0.0
5,7.51380212022923E-5,5242.88,0.0
6,7.51380212022923E-5,6291.456,0.0
7,7.51380212022923E-5,7340.032,14417.91
8,7.51380212022923E-5,8388.608,0.0
9,7.51380212022923E-5,9437.184,14417.91
10,7.51380212022923E-5,10485.76,0.0
11,7.51380212022923E-5,1048.576,14417.91
12,7.51380212022923E-5,2097.152,14417.91
13,7.51380212022923E-5,3145.728,14417.91
14,7.51380212022923E-5,4194.304,14417.91
15,7.51380212022923E-5,5242.88,14417.91
17,7.51380212022923E-5,7340.032,14417.91
16,7.51380212022923E-5,6291.456,14417.91
19,7.51380212022923E-5,9437.184,14417.91
18,7.51380212022923E-5,8388.608,14417.91
20,7.51380212022923E-5,10485.76,14417.91
1,8.091786730801687E-5,1048.576,0.0
2,8.091786730801687E-5,2097.152,0.0
3,8.091786730801687E-5,3145.728,0.0
4,8.091786730801687E-5,4194.304,0.0
5,8.091786730801687E-5,5242.88,0.0
6,8.091786730801687E-5,6291.456,0.0
7,8.091786730801687E-5,7340.032,13308.841
8,8.091786730801687E-5,8388.608,13308.841
9,8.091786730801687E-5,9437.184,13308.841
10,8.091786730801687E-5,10485.76,0.0
11,8.091786730801687E-5,1048.576,13308.841
12,8.091786730801687E-5,2097.152,13308.841
13,8.091786730801687E-5,3145.728,13308.841
14,8.091786730801687E-5,4194.304,13308.841
15,8.091786730801687E-5,5242.88,13308.841
